id,title,description,link,image_link,price,availability,condition,brand,identifier_exists,product_type
"v1|318352931650|0","One Piece Card Gol D. Roger OP08-119 SEC Parallel Ace P-028 PromoJapan 2pc foil","One Piece Card Gol D. Roger OP08-119 SEC Parallel Ace P-028 PromoJapan 2pc foil — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318352931650-0.html","https://i.ebayimg.com/images/g/avsAAeSwGTpqEroi/s-l225.jpg","22.00 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318627214131|0","Pokemon Card GYM Promo Pack Vol.4 MEGA Japanese Sealed 5 Packs Not For Sale Rare","Pokemon Card GYM Promo Pack Vol.4 MEGA Japanese Sealed 5 Packs Not For Sale Rare — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318627214131-0.html","https://i.ebayimg.com/images/g/ndkAAeSwizZqYrwD/s-l225.jpg","18.99 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318143729879|0","Pokemon Card Game Japanese Deck Sleeves Pikachu Set 2 Packs 64ct Japan Official","Pokemon Card Game Japanese Deck Sleeves Pikachu Set 2 Packs 64ct Japan Official — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318143729879-0.html","https://i.ebayimg.com/images/g/8-YAAeSwHFFp3PfD/s-l225.jpg","28.00 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318700358941|0","Pokemon Moncolle Mega Gengar Figure Takara Tomy Japan NEW Sealed Ghost Shadow","Pokemon Moncolle Mega Gengar Figure Takara Tomy Japan NEW Sealed Ghost Shadow — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318700358941-0.html","https://i.ebayimg.com/images/g/PeMAAeSwk-9qddk3/s-l225.jpg","15.00 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318413209920|0","Vintage 1990s Pokemon Pocket Monster Gold Coin Set Eevee Lapras Japan Official 2","Vintage 1990s Pokemon Pocket Monster Gold Coin Set Eevee Lapras Japan Official 2 — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318413209920-0.html","https://i.ebayimg.com/images/g/r4wAAeSwqfVqIq7H/s-l225.jpg","32.34 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318707731848|0","Pokemon Pikachu 30th Anniversary Talking Plush Poke Fuwa Takara Tomy Japan New","Pokemon Pikachu 30th Anniversary Talking Plush Poke Fuwa Takara Tomy Japan New — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318707731848-0.html","https://i.ebayimg.com/images/g/Fs4AAeSwKTRqeeyu/s-l225.jpg","38.00 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318588704472|0","Pokemon Card PSA 10 Gengar ex #003/021 MEGA Japanese Starter Set MBG Graded 2025","Pokemon Card PSA 10 Gengar ex #003/021 MEGA Japanese Starter Set MBG Graded 2025 — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318588704472-0.html","https://i.ebayimg.com/images/g/dCoAAeSwl85qWCne/s-l225.jpg","57.49 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318149091973|0","One Piece P.O.P DX Monkey D Luffy Megahouse 2010 Portrait of Pirates Figure JP","One Piece P.O.P DX Monkey D Luffy Megahouse 2010 Portrait of Pirates Figure JP — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318149091973-0.html","https://i.ebayimg.com/images/g/fZsAAeSwL~NqdJjH/s-l225.jpg","59.49 USD","in stock","used","Sanuki Trading","no","Anime Figures"
"v1|318151964227|0","Pokemon Japanese Trainer Holo Lot x6 SR NM Set","Pokemon Japanese Trainer Holo Lot x6 SR NM Set — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318151964227-0.html","https://i.ebayimg.com/images/g/62MAAeSw--9p3wYW/s-l225.jpg","6.00 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318522318281|0","Pokemon TCG Start Deck 100 Battle Collection Japanese Sealed x2 New","Pokemon TCG Start Deck 100 Battle Collection Japanese Sealed x2 New — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318522318281-0.html","https://i.ebayimg.com/images/g/tOMAAeSwf9FqN6Nd/s-l225.jpg","59.00 USD","in stock","new","Sanuki Trading","no","Trading Cards"
